,pearson,spearman
customer_id,0.17407765595569785,0.17407765595569782
total_transactions,0.09772856392964756,0.034815531191139566
total_spent,0.15375274751707732,0.034815531191139566
days_as_customer,0.19816434489817628,0.10444659357341869
days_since_last_purchase,-0.060229307885911805,-0.034815531191139566
purchase_count,0.09772856392964756,0.034815531191139566
transactions_per_month,-0.6849159848454394,-0.6324555320336759
avg_spend_per_transaction,0.2298264503173564,0.3133397807202561
lifetime_value_per_month,0.06069356024469454,0.034815531191139566
rfm_score,-2.1415883385352258e-17,0.035028472205202936
revenue,0.15375274751707732,0.034815531191139566
revenue_normalized,0.15375274751707727,0.034815531191139566
revenue_zscore,0.15375274751707735,0.034815531191139566
revenue_rank,-0.034815531191139566,-0.034815531191139566
engagement,-0.6849159848454396,-0.6324555320336759
customer_pain,0.7378088635560007,0.8703882797784891
support_tickets,0.8682431421244592,0.9284766908852593
churn,1.0,1.0
